TGL_LAHIR,JENIS_KELAMIN,TANGGAL_DAFTAR,KECAMATAN,PENDIDIKAN,JURUSAN,TAHUN_LULUS,Keterampilan,UPAH_DIINGINKAN,JABATAN_DIINGINKAN,WILAYAH_DIINGINKAN,WILAYAH_DIINGINKAN_DETAIL,UMUR_SAAT_DAFTAR,original_index,JABATAN_DIINGINKAN_Normalized,wilayah_diinginkan_detail_normalized
1802-08-19,L,2021-11-09,PURBARATU,D.III,PARIWISATA DAN PERHOTELAN,2003.0,,Rp 5.000.001 - Rp 10.000.000,ABK,DI DALAM NEGERI,JABODETABEK,219,49,lain-lain,bogor
1802-08-19,L,2021-11-09,PURBARATU,D.III,PARIWISATA DAN PERHOTELAN,2003.0,,Rp 5.000.001 - Rp 10.000.000,ABK,DI DALAM NEGERI,JABODETABEK,219,49,lain-lain,depok
1802-08-19,L,2021-11-09,PURBARATU,D.III,PARIWISATA DAN PERHOTELAN,2003.0,,Rp 5.000.001 - Rp 10.000.000,ABK,DI DALAM NEGERI,JABODETABEK,219,49,lain-lain,tangerang
1802-08-19,L,2021-11-09,PURBARATU,D.III,PARIWISATA DAN PERHOTELAN,2003.0,,Rp 5.000.001 - Rp 10.000.000,ABK,DI DALAM NEGERI,JABODETABEK,219,49,lain-lain,bekasi
1997-07-22,L,2021-11-09,CIPEDES,SMA / LAINNYA,IPA,2016.0,OLAHRAGA,Rp 1.000.001 - Rp 2.500.000,GURU,DI DALAM NEGERI,TASIKMALAYA,24,50,pendidikan,tasikmalaya
1998-12-05,L,2021-11-09,KAWALU,SMA / LAINNYA,IPA,2017.0,OLAHRAGA,Rp 1.000.001 - Rp 2.500.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYA,22,51,pekerja umum,tasikmalaya
1998-03-05,L,2021-11-09,CIBEUREUM,S1,PENDIDIKAN BIOLOGI,2021.0,SENI,Rp 2.500.001 - Rp 5.000.000,STAFF ADMINISTRASI,DI DALAM NEGERI,BANDUNG,23,52,administrasi/staf umum,bandung
1998-05-23,P,2021-11-09,PURBARATU,SMA / LAINNYA,IPS,2017.0,MS OFFICE,Rp 1.000.001 - Rp 2.500.000,APA SAJA,DI DALAM NEGERI,TASIKMALAYA,23,53,lain-lain,tasikmalaya
2003-03-16,P,2021-11-10,TAMANSARI,SMA / LAINNYA,IPA,2021.0,,0 - Rp 1.000.000,KARYAWAN SWASTA,DI DALAM NEGERI,KOTA TASIKMALAYA,18,54,pekerja umum,lokasi tidak spesifik
2002-06-02,L,2021-11-10,KAWALU,SMK,MEKATRONIKA,2021.0,OLAHRAGA,0 - Rp 1.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,INDONESIA,19,55,produksi/operasional,lokasi tidak spesifik
1992-02-05,L,2021-11-10,CIBEUREUM,SMA / LAINNYA,IPS,2012.0,LARI,0 - Rp 1.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYA,29,56,pekerja umum,tasikmalaya
2001-09-02,L,2021-11-10,CIBEUREUM,SMA / LAINNYA,IPS,2020.0,OLAHRAGA,0 - Rp 1.000.000,RIDER ,DI DALAM NEGERI,TASIKMALAYA ,20,57,transportasi,tasikmalaya
2000-07-19,P,2021-11-10,TAWANG,SMK,KEPERAWATAN,2019.0,MENULIS DAN MEMBACA,Rp 1.000.001 - Rp 2.500.000,HELPER GUDANG ATAU STAFF,DI DALAM NEGERI,TASIKMALAYA DAN DAERAH WILAYAH JAWA BARAT LAINNYA,21,58,logistik/gudang,jawa barat
2000-07-19,P,2021-11-10,TAWANG,SMK,KEPERAWATAN,2019.0,MENULIS DAN MEMBACA,Rp 1.000.001 - Rp 2.500.000,HELPER GUDANG ATAU STAFF,DI DALAM NEGERI,TASIKMALAYA DAN DAERAH WILAYAH JAWA BARAT LAINNYA,21,58,logistik/gudang,tasikmalaya
1998-12-25,P,2021-11-10,BUNGURSARI,SMA / LAINNYA,IPS,2015.0,TATA BOGA,Rp 2.500.001 - Rp 5.000.000,OPERATOR,DI DALAM NEGERI,CIKARANG,22,59,produksi/operasional,cikarang
2003-03-03,P,2021-11-10,BUNGURSARI,SMK,ADMINISTRASI PERKANTORAN,2021.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,ADMINISTRASI,DI DALAM NEGERI,BEKASI,18,60,administrasi/staf umum,bekasi
2001-01-27,L,2021-11-10,CIBEUREUM,SMK,TEKNIK KENDARAAN RINGAN OTOMOTIF,2020.0,OLAHRAGA ,Rp 5.000.001 - Rp 10.000.000,MANEJER,DI DALAM NEGERI,DIMANA SAJA ,20,61,manajemen/direksi,lokasi tidak spesifik
2003-01-02,L,2021-11-10,PURBARATU,SMK,TKJ,2021.0,SEPAK BOLA,Rp 5.000.001 - Rp 10.000.000,PENGUSAHA,DI DALAM NEGERI,TASIKMALAYA,18,62,bisnis/wirausaha,tasikmalaya
1998-08-06,P,2021-11-11,TAWANG,D.III,KOMPUTERISASI AKUNTANSI,2020.0,KOMPUTER,Rp 2.500.001 - Rp 5.000.000,OPERATOR ADMIN,DI DALAM NEGERI,DIMANA SAJA,23,63,administrasi/staf umum,lokasi tidak spesifik
2001-05-23,L,2021-11-11,INDIHIANG,SMK,PERMESINAN,2019.0,FUTSAL,Rp 2.500.001 - Rp 5.000.000,OPRATOR PRODUKSI,DI DALAM NEGERI,KARAWANG,20,64,produksi/operasional,karawang
2001-11-02,P,2021-11-11,CIPEDES,SMP / LAINNYA,UMUM,2017.0,MS OFFICE,0 - Rp 1.000.000,APA SAJA,DI DALAM NEGERI,TASIKMALAYA,20,65,lain-lain,tasikmalaya
2002-05-05,L,2021-11-11,TAWANG,SMK,ADMINISTRASI PERKANTORAN,2020.0,MUSIK OLAHRAGA,Rp 5.000.001 - Rp 10.000.000,MANAGER,DI LUAR NEGERI,JEPANG,19,66,manajemen/direksi,lokasi tidak spesifik
1993-06-13,P,2021-11-12,MANGKUBUMI,SMK,TEKNIK KOMPUTER DAN INFORMATIKA,2011.0,MICROSOFT WORD,Rp 1.000.001 - Rp 2.500.000,PRAMUNIAGA,DI DALAM NEGERI,TASIKMALAYA,28,67,sales/marketing,tasikmalaya
1999-03-20,L,2021-11-12,INDIHIANG,SMK,TEKNIK OTOMOTIF,2017.0,FUTSAL,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNG,22,68,pekerja umum,bandung
1999-03-20,L,2021-11-12,INDIHIANG,SMK,TEKNIK OTOMOTIF,2017.0,FUTSAL,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNG,22,68,pekerja umum,tasikmalaya
1995-07-12,L,2021-11-12,INDIHIANG,SMK,TEKNIK OTOMOTIF,2014.0,FUTSAL,0 - Rp 1.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNG,26,69,pekerja umum,bandung
1995-07-12,L,2021-11-12,INDIHIANG,SMK,TEKNIK OTOMOTIF,2014.0,FUTSAL,0 - Rp 1.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYABANDUNG,26,69,pekerja umum,tasikmalaya
2000-10-16,L,2021-11-12,CIHIDEUNG,SMK,OTOMOTIF,2019.0,FUTSAL,Rp 2.500.001 - Rp 5.000.000,STAF,DI DALAM NEGERI,BANDUNG,21,70,administrasi/staf umum,bandung
2002-06-16,P,2021-11-12,TAMANSARI,SMK,KRIYA TEKSTIL,2020.0,MENJAHIT,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,TASIKMALAYA,19,71,pekerja umum,tasikmalaya
1996-10-09,L,2021-11-12,MANGKUBUMI,SMK,TEKNIK SEPEDA MOTOR,2015.0,FUTSAL VOLY,Rp 5.000.001 - Rp 10.000.000,LEADER ,DI DALAM NEGERI,KARAWANG,25,72,supervisor,karawang
2000-03-30,P,2021-11-12,CIBEUREUM,SMK,FARMASI,2018.0,FARMASI,0 - Rp 1.000.000,FARMASI,DI DALAM NEGERI,TASIKMALAYA,21,73,tenaga kesehatan (umum),tasikmalaya
2001-01-14,L,2021-11-15,PURBARATU,SMK,TEKNIK DAN BISNIS SEPEDA MOTOR,2020.0,SEPAK BOLA,Rp 2.500.001 - Rp 5.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,DIMANA SAJA,20,74,produksi/operasional,lokasi tidak spesifik
2001-06-10,P,2021-11-15,KAWALU,SMK,MANAJEMEN PERKANTORAN ,2021.0,SEPAK BOLA,Rp 2.500.001 - Rp 5.000.000,SEKETARIS,DI DALAM NEGERI,GARUT,20,75,administrasi/staf umum,garut
1999-09-15,L,2021-11-15,CIPEDES,SMA / LAINNYA,IPA,2018.0,OLAHRAGA,Rp 5.000.001 - Rp 10.000.000,GURU,DI DALAM NEGERI,BOKASI,22,76,pendidikan,lokasi tidak spesifik
1996-11-26,P,2021-11-15,TAWANG,S1,MANAJEMEN,2019.0,KOMPUTER,Rp 1.000.001 - Rp 2.500.000,ADMINISTRASI,DI DALAM NEGERI,TASIKMALAYA,24,77,administrasi/staf umum,tasikmalaya
1999-01-16,P,2021-11-15,CIPEDES,S1,AKUNTANSI,2021.0,ACCOUNTINGMS OFFICESPSS MINITABTEAMWORK,Rp 2.500.001 - Rp 5.000.000,AKUNTAN,DI DALAM NEGERI,TASIKMALAYA JAKARTA SEMARANG,22,78,keuangan/akuntansi/perbankan,jakarta
1999-01-16,P,2021-11-15,CIPEDES,S1,AKUNTANSI,2021.0,ACCOUNTINGMS OFFICESPSS MINITABTEAMWORK,Rp 2.500.001 - Rp 5.000.000,AKUNTAN,DI DALAM NEGERI,TASIKMALAYA JAKARTA SEMARANG,22,78,keuangan/akuntansi/perbankan,semarang
1999-01-16,P,2021-11-15,CIPEDES,S1,AKUNTANSI,2021.0,ACCOUNTINGMS OFFICESPSS MINITABTEAMWORK,Rp 2.500.001 - Rp 5.000.000,AKUNTAN,DI DALAM NEGERI,TASIKMALAYA JAKARTA SEMARANG,22,78,keuangan/akuntansi/perbankan,tasikmalaya
